utc_timestamp;BE_load_actual_entsoe_transparency
2015-01-20T21:00:00Z;120.780.000
2015-01-20T22:00:00Z;119.980.000
2015-01-20T23:00:00Z;114.630.000
2015-01-21T00:00:00Z;110.480.000
2015-01-21T01:00:00Z;105.840.000
2015-01-21T02:00:00Z;102.810.000
2015-01-21T03:00:00Z;102.280.000
2015-01-21T04:00:00Z;106.140.000
2015-01-21T05:00:00Z;116.830.000
2015-01-21T06:00:00Z;126.260.000
2015-01-21T07:00:00Z;129.360.000
2015-01-21T08:00:00Z;130.450.000
2015-01-21T09:00:00Z;129.590.000
2015-01-21T10:00:00Z;130.350.000
2015-01-21T11:00:00Z;128.290.000
2015-01-21T12:00:00Z;128.410.000
2015-01-21T13:00:00Z;126.790.000
2015-01-21T14:00:00Z;126.330.000
2015-01-21T15:00:00Z;125.840.000
2015-01-21T16:00:00Z;131.850.000
2015-01-21T17:00:00Z;134.910.000
2015-01-21T18:00:00Z;130.510.000
2015-01-21T19:00:00Z;123.880.000
2015-01-21T20:00:00Z;117.610.000
2015-01-21T21:00:00Z;118.660.000
2015-01-21T22:00:00Z;118.370.000
2015-01-21T23:00:00Z;113.540.000
2015-01-22T00:00:00Z;109.330.000
2015-01-22T01:00:00Z;104.470.000
2015-01-22T02:00:00Z;102.000.000
2015-01-22T03:00:00Z;101.500.000
2015-01-22T04:00:00Z;104.750.000
2015-01-22T05:00:00Z;116.720.000
2015-01-22T06:00:00Z;126.850.000
2015-01-22T07:00:00Z;129.970.000
2015-01-22T08:00:00Z;130.660.000
2015-01-22T09:00:00Z;131.190.000
2015-01-22T10:00:00Z;132.580.000
2015-01-22T11:00:00Z;131.260.000
2015-01-22T12:00:00Z;131.510.000
2015-01-22T13:00:00Z;130.960.000
2015-01-22T14:00:00Z;130.610.000
2015-01-22T15:00:00Z;129.450.000
2015-01-22T16:00:00Z;134.910.000
2015-01-22T17:00:00Z;136.700.000
2015-01-22T18:00:00Z;132.040.000
2015-01-22T19:00:00Z;125.520.000
2015-01-22T20:00:00Z;119.420.000
2015-01-22T21:00:00Z;121.450.000
2015-01-22T22:00:00Z;121.810.000
2015-01-22T23:00:00Z;115.370.000
2015-01-23T00:00:00Z;110.110.000
2015-01-23T01:00:00Z;106.590.000
2015-01-23T02:00:00Z;103.850.000
2015-01-23T03:00:00Z;103.460.000
2015-01-23T04:00:00Z;106.860.000
2015-01-23T05:00:00Z;117.980.000
2015-01-23T06:00:00Z;127.270.000
2015-01-23T07:00:00Z;130.720.000
2015-01-23T08:00:00Z;131.460.000
2015-01-23T09:00:00Z;131.440.000
2015-01-23T10:00:00Z;132.340.000
2015-01-23T11:00:00Z;129.470.000
2015-01-23T12:00:00Z;129.030.000
2015-01-23T13:00:00Z;127.570.000
2015-01-23T14:00:00Z;125.890.000
2015-01-23T15:00:00Z;125.260.000
2015-01-23T16:00:00Z;130.570.000
2015-01-23T17:00:00Z;132.340.000
2015-01-23T18:00:00Z;127.430.000
2015-01-23T19:00:00Z;122.150.000
2015-01-23T20:00:00Z;116.490.000
2015-01-23T21:00:00Z;120.070.000
2015-01-23T22:00:00Z;120.740.000
2015-01-23T23:00:00Z;114.340.000
2015-01-24T00:00:00Z;108.660.000
2015-01-24T01:00:00Z;104.390.000
2015-01-24T02:00:00Z;101.180.000
2015-01-24T03:00:00Z;99.160.000
2015-01-24T04:00:00Z;98.970.000
2015-01-24T05:00:00Z;100.720.000
2015-01-24T06:00:00Z;103.320.000
2015-01-24T07:00:00Z;110.280.000
2015-01-24T08:00:00Z;116.220.000
2015-01-24T09:00:00Z;119.390.000
2015-01-24T10:00:00Z;120.270.000
2015-01-24T11:00:00Z;117.770.000
2015-01-24T12:00:00Z;115.340.000
2015-01-24T13:00:00Z;112.840.000
2015-01-24T14:00:00Z;111.460.000
2015-01-24T15:00:00Z;110.860.000
2015-01-24T16:00:00Z;116.990.000
2015-01-24T17:00:00Z;121.340.000
2015-01-24T18:00:00Z;117.720.000
2015-01-24T19:00:00Z;112.310.000
2015-01-24T20:00:00Z;107.290.000
2015-01-24T21:00:00Z;108.990.000
2015-01-24T22:00:00Z;111.780.000
2015-01-24T23:00:00Z;106.190.000
2015-01-25T00:00:00Z;100.800.000
2015-01-25T01:00:00Z;97.390.000
2015-01-25T02:00:00Z;95.200.000
2015-01-25T03:00:00Z;93.060.000
2015-01-25T04:00:00Z;91.670.000
2015-01-25T05:00:00Z;93.090.000
2015-01-25T06:00:00Z;93.750.000
2015-01-25T07:00:00Z;98.120.000
2015-01-25T08:00:00Z;103.540.000
2015-01-25T09:00:00Z;107.880.000
2015-01-25T10:00:00Z;111.590.000
2015-01-25T11:00:00Z;112.860.000
2015-01-25T12:00:00Z;109.580.000
2015-01-25T13:00:00Z;106.230.000
2015-01-25T14:00:00Z;105.000.000
2015-01-25T15:00:00Z;104.460.000
2015-01-25T16:00:00Z;110.070.000
2015-01-25T17:00:00Z;116.400.000
2015-01-25T18:00:00Z;115.070.000
2015-01-25T19:00:00Z;111.220.000
2015-01-25T20:00:00Z;105.700.000
2015-01-25T21:00:00Z;107.310.000
2015-01-25T22:00:00Z;107.250.000
2015-01-25T23:00:00Z;101.070.000
2015-01-26T00:00:00Z;97.730.000
2015-01-26T01:00:00Z;93.780.000
2015-01-26T02:00:00Z;91.160.000
2015-01-26T03:00:00Z;92.340.000
2015-01-26T04:00:00Z;97.760.000
2015-01-26T05:00:00Z;109.830.000
2015-01-26T06:00:00Z;120.440.000
2015-01-26T07:00:00Z;124.560.000
2015-01-26T08:00:00Z;125.600.000
2015-01-26T09:00:00Z;126.540.000
2015-01-26T10:00:00Z;127.910.000
2015-01-26T11:00:00Z;125.390.000
